,Title,Author,About_author,Foreword,Description,Image,Genres,Series,Order,Pages,Format,First_published,Rating,Review_count
26,Lord of the Flies,William Golding,"People note British writer Sir William Gerald Golding for his dark novels, especially 
The Lord of the Flies
 (1954); he won the Nobel Prize of 1983 for literature. 

People best know this British novelist, poet, and playwright for this novel. Golding spent two years, focusing on sciences, in Oxford but changed his educational emphasis to English, especially Anglo-Saxon, literature. 

During World War II, he served as part of the royal Navy, which he left five years later. This experience strongly influenced his future novels. Later, he taught and focused on writing. Classical Greek literature, such as that of Euripides, and 
The Battle of Maldon
, an Anglo-Saxon oeuvre of unknown author influenced him. 

College students in the 1950s and 1960s gave the attention to Lord of the Flies, first novel of Golding; their attention drove that of literary critics. He was awarded the Booker Prize for literature in 1980 for his novel 
Rites of Passage
, the first book of the trilogy To the Ends of the Earth. He received knighthood in 1988. 

In 2008, The Times ranked Golding third on their list of ""The 50 greatest British writers since 1945.""",,"At the dawn of the next world war, a plane crashes on an uncharted island, stranding a group of schoolboys. At first, with no adult supervision, their freedom is something to celebrate; this far from civilization the boys can do anything they want. Anything. They attempt to forge their own society, failing, however, in the face of terror, sin and evil. And as order collapses, as strange howls echo in the night, as terror begins its reign, the hope of adventure seems as far from reality as the hope of being rescued. Labeled a parable, an allegory, a myth, a morality tale, a parody, a political treatise, even a vision of the apocalypse, Lord of the Flies is perhaps our most memorable novel about “the end of innocence, the darkness of man’s heart.”",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1327869409i/7624.jpg,"Classics, Fiction, Young Adult, School, Literature, Dystopia, Read For School",,,182,Paperback,"September 17, 1954",3.69,53324
27,Romeo and Juliet,William Shakespeare,"William Shakespeare (baptised 26 April 1564) was an English poet and playwright, widely regarded as the greatest writer in the English language and the world's pre-eminent dramatist. He is often called England's national poet and the ""Bard of Avon"" (or simply ""The Bard""). His surviving works consist of 38 plays, 154 sonnets, two long narrative poems, and several other poems. His plays have been translated into every major living language, and are performed more often than those of any other playwright.

Shakespeare was born and raised in Stratford-upon-Avon. Scholars believe that he died on his fifty-second birthday, coinciding with St George’s Day.

At the age of 18 he married Anne Hathaway, who bore him three children: Susanna, and twins Hamnet and Judith. Between 1585 and 1592 he began a successful career in London as an actor, writer, and part owner of the playing company the Lord Chamberlain's Men, later known as the King's Men. He appears to have retired to Stratford around 1613, where he died three years later. Few records of Shakespeare's private life survive, and there has been considerable speculation about such matters as his sexuality, religious beliefs, and whether the works attributed to him were written by others.

Shakespeare produced most of his known work between 1590 and 1613. His early plays were mainly comedies and histories, genres he raised to the peak of sophistication and artistry by the end of the sixteenth century. Next he wrote mainly tragedies until about 1608, including Hamlet, King Lear, and Macbeth, considered some of the finest examples in the English language. In his last phase, he wrote tragicomedies, also known as romances, and collaborated with other playwrights. Many of his plays were published in editions of varying quality and accuracy during his lifetime, and in 1623, two of his former theatrical colleagues published the First Folio, a collected edition of his dramatic works that included all but two of the plays now recognised as Shakespeare's.

Shakespeare was a respected poet and playwright in his own day, but his reputation did not rise to its present heights until the nineteenth century. The Romantics, in particular, acclaimed Shakespeare's genius, and the Victorians hero-worshipped Shakespeare with a reverence that George Bernard Shaw called ""bardolatry"". In the twentieth century, his work was repeatedly adopted and rediscovered by new movements in scholarship and performance. His plays remain highly popular today and are consistently performed and reinterpreted in diverse cultural and political contexts throughout the world.

According to historians, Shakespeare wrote 37 plays and 154 sonnets throughout the span of his life. Shakespeare's writing average was 1.5 plays a year since he first started writing in 1589. There have been plays and sonnets attributed to Shakespeare that were not authentically written by the great master of language and literature.",,"In Romeo and Juliet, Shakespeare creates a violent world, in which two young people fall in love. It is not simply that their families disapprove; the Montagues and the Capulets are engaged in a blood feud.

In this death-filled setting, the movement from love at first sight to the lovers’ final union in death seems almost inevitable. And yet, this play set in an extraordinary world has become the quintessential story of young love. In part because of its exquisite language, it is easy to respond as if it were about all young lovers.",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1629680008i/18135.jpg,"Classics, Plays, Fiction, School, Drama, Read For School, Literature",,,281,Mass,"January 1, 1597",3.74,29806
28,Anne of Green Gables,L.M. Montgomery,"Lucy Maud Montgomery was a Canadian author, best known for a series of novels beginning with Anne of Green Gables, published in 1908.

Montgomery was born at Clifton, Prince Edward Island, Nov. 30, 1874. She came to live at Leaskdale, north of Uxbridge Ontario, after her wedding with Rev. Ewen Macdonald on July 11, 1911. She had three children and wrote close to a dozen books while she was living in the Leaskdale Manse before the family moved to Norval, Ontario in 1926. She died in Toronto April 24, 1942 and was buried at Cavendish, Prince Edward Island.",,"This heartwarming story has beckoned generations of readers into the special world of Green Gables, an old-fashioned farm outside a town called Avonlea. Anne Shirley, an eleven-year-old orphan, has arrived in this verdant corner of Prince Edward Island only to discover that the Cuthberts—elderly Matthew and his stern sister, Marilla—want to adopt a boy, not a feisty redheaded girl. But before they can send her back, Anne—who simply must have more scope for her imagination and a real home—wins them over completely. A much-loved classic that explores all the vulnerability, expectations, and dreams of a child growing up, Anne of Green Gables is also a wonderful portrait of a time, a place, a family… and, most of all, love. 

WITH AN AFTERWORD BY JENNIFER LEE CARELL",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1615094578i/8127.jpg,"Classics, Fiction, Young Adult, Historical Fiction, Childrens, Middle Grade, Audiobook",Anne of Green Gables ,1,320,Mass,"January 1, 1908",4.30,36849
29,City of Bones,Cassandra Clare,"Cassandra Clare was born to American parents in Tehran, Iran and spent much of her childhood travelling the world with her family, including one trek through the Himalayas as a toddler where she spent a month living in her father’s backpack. She lived in France, England and Switzerland before she was ten years old.

Since her family moved around so much she found familiarity in books and went everywhere with a book under her arm. She spent her high school years in Los Angeles where she used to write stories to amuse her classmates, including an epic novel called “The Beautiful Cassandra” based on a Jane Austen short story of the same name (and which later inspired her current pen name).

After college, Cassie lived in Los Angeles and New York where she worked at various entertainment magazines and even some rather suspect tabloids where she reported on Brad and Angelina’s world travels and Britney Spears’ wardrobe malfunctions. She started working on her YA novel, City of Bones, in 2004, inspired by the urban landscape of Manhattan, her favourite city. She turned to writing fantasy fiction full time in 2006 and hopes never to have to write about Paris Hilton again.
Cassie’s first professional writing sale was a short story called “The Girl’s Guide to Defeating the Dark Lord” in a Baen anthology of humor fantasy. Cassie hates working at home alone because she always gets distracted by reality TV shows and the antics of her cats, so she usually sets out to write in local coffee shops and restaurants. She likes to work in the company of her friends, who see that she sticks to her deadlines.

City of Bones was her first novel. Sword Catcher is her most recent novel.",,"When fifteen-year-old Clary Fray heads out to the Pandemonium Club in New York City, she hardly expects to witness a murder― much less a murder committed by three teenagers covered with strange tattoos and brandishing bizarre weapons. Then the body disappears into thin air. It's hard to call the police when the murderers are invisible to everyone else and when there is nothing―not even a smear of blood―to show that a boy has died. Or was he a boy?

This is Clary's first meeting with the Shadowhunters, warriors dedicated to ridding the earth of demons. It's also her first encounter with Jace, a Shadowhunter who looks a little like an angel and acts a lot like a jerk. Within twenty-four hours Clary is pulled into Jace's world with a vengeance when her mother disappears and Clary herself is attacked by a demon. But why would demons be interested in ordinary mundanes like Clary and her mother? And how did Clary suddenly get the Sight? The Shadowhunters would like to know...",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1432730315i/256683.jpg,"Fantasy, Young Adult, Romance, Paranormal, Urban Fantasy, Fiction, Vampires",The Mortal Instruments ,1,485,Hardcover,"March 27, 2007",4.08,74220
30,The Help,Kathryn Stockett,"Kathryn Stockett was born and raised in Jackson, Mississippi. After graduating from the University of Alabama with a degree in English and creative writing, she moved to New York City, where she worked in magazine publishing for nine years. She currently lives in Atlanta with her husband and daughter. She is working on her second novel.",,"Three ordinary women are about to take one extraordinary step.

Twenty-two-year-old Skeeter has just returned home after graduating from Ole Miss. She may have a degree, but it is 1962, Mississippi, and her mother will not be happy till Skeeter has a ring on her finger. Skeeter would normally find solace with her beloved maid Constantine, the woman who raised her, but Constantine has disappeared and no one will tell Skeeter where she has gone.

Aibileen is a black maid, a wise, regal woman raising her seventeenth white child. Something has shifted inside her after the loss of her own son, who died while his bosses looked the other way. She is devoted to the little girl she looks after, though she knows both their hearts may be broken.

Minny, Aibileen's best friend, is short, fat, and perhaps the sassiest woman in Mississippi. She can cook like nobody's business, but she can't mind her tongue, so she's lost yet another job. Minny finally finds a position working for someone too new to town to know her reputation. But her new boss has secrets of her own.

Seemingly as different from one another as can be, these women will nonetheless come together for a clandestine project that will put them all at risk. And why? Because they are suffocating within the lines that define their town and their times. And sometimes lines are made to be crossed.

In pitch-perfect voices, Kathryn Stockett creates three extraordinary women whose determination to start a movement of their own forever changes a town, and the way women, mothers, daughters, caregivers, friends, view one another. A deeply moving novel filled with poignancy, humor, and hope, The Help is a timeless and universal story about the lines we abide by, and the ones we don't. 


Librarian's note: An alternate cover edition can be found here",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1622355533i/4667024.jpg,"Fiction, Historical Fiction, Historical, Adult, Classics, Adult Fiction, Contemporary",,,464,Hardcover,"February 10, 2009",4.47,89524
31,Ender’s Game,Orson Scott Card,"Orson Scott Card is the author of the novels Ender's Game, Ender's Shadow, and Speaker for the Dead, which are widely read by adults and younger readers, and are increasingly used in schools.

Besides these and other science fiction novels, Card writes contemporary fantasy (Magic Street, Enchantment, Lost Boys), biblical novels (Stone Tables, Rachel and Leah), the American frontier fantasy series The Tales of Alvin Maker (beginning with Seventh Son), poetry (An Open Book), and many plays and scripts.

Card was born in Washington and grew up in California, Arizona, and Utah. He served a mission for the LDS Church in Brazil in the early 1970s. Besides his writing, he teaches occasional classes and workshops and directs plays. He recently began a long-term position as a professor of writing and literature at Southern Virginia University.

Card currently lives in Greensboro, North Carolina, with his wife, Kristine Allen Card, and their youngest child, Zina Margaret.

For further details, see the author's Wikipedia page.
For an ordered list of the author's works, see Wikipedia's List of works by Orson Scott Card.

http://us.macmillan.com/author/orsons...",,"Andrew ""Ender"" Wiggin thinks he is playing computer simulated war games; he is, in fact, engaged in something far more desperate. The result of genetic experimentation, Ender may be the military genius Earth desperately needs in a war against an alien enemy seeking to destroy all human life. The only way to find out is to throw Ender into ever harsher training, to chip away and find the diamond inside, or destroy him utterly. Ender Wiggin is six years old when it begins. He will grow up fast.

But Ender is not the only result of the experiment. The war with the Buggers has been raging for a hundred years, and the quest for the perfect general has been underway almost as long. Ender's two older siblings, Peter and Valentine, are every bit as unusual as he is, but in very different ways. While Peter was too uncontrollably violent, Valentine very nearly lacks the capability for violence altogether. Neither was found suitable for the military's purpose. But they are driven by their jealousy of Ender, and by their inbred drive for power. Peter seeks to control the political process, to become a ruler. Valentine's abilities turn more toward the subtle control of the beliefs of commoner and elite alike, through powerfully convincing essays. Hiding their youth and identities behind the anonymity of the computer networks, these two begin working together to shape the destiny of Earth-an Earth that has no future at all if their brother Ender fails.",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1408303130i/375802.jpg,"Science Fiction, Fiction, Young Adult, Fantasy, Classics, Science Fiction Fantasy, Dystopia",Ender's Saga ,1,324,Mass,"January 15, 1985",4.31,48711
32,Dracula,Bram Stoker,"Irish-born Abraham Stoker, known as Bram, of Britain wrote the gothic horror novel 
Dracula
 (1897). 

The feminist Charlotte Mathilda Blake Thornely Stoker at 15 Marino crescent, then as now called ""the crescent,"" in Fairview, a coastal suburb of Dublin, Ireland, bore this third of seven children. The parents, members of church of Ireland, attended the parish church of Saint John the Baptist, located on Seafield road west in Clontarf with their baptized children. 

Stoker, an invalid, started school at the age of seven years in 1854, when he made a complete and astounding recovery. Of this time, Stoker wrote, ""I was naturally thoughtful, and the leisure of long illness gave opportunity for many thoughts which were fruitful according to their kind in later years."" 

After his recovery, he, a normal young man, even excelled as a university athlete at Trinity college, Dublin form 1864 to 1870 and graduated with honors in mathematics. He served as auditor of the college historical society and as president of the university philosophical society with his first paper on ""Sensationalism in Fiction and Society."" 

In 1876, while employed as a civil servant in Dublin, Stoker wrote a non-fiction book (The Duties of Clerks of Petty Sessions in Ireland, published 1879) and theatre reviews for The Dublin Mail, a newspaper partly owned by fellow horror writer J. Sheridan Le Fanu. His interest in theatre led to a lifelong friendship with the English actor Henry Irving. He also wrote stories, and in 1872 ""The Crystal Cup"" was published by the London Society, followed by ""The Chain of Destiny"" in four parts in The Shamrock.

In 1878 Stoker married Florence Balcombe, a celebrated beauty whose former suitor was Oscar Wilde. The couple moved to London, where Stoker became business manager (at first as acting-manager) of Irving's Lyceum Theatre, a post he held for 27 years. The collaboration with Irving was very important for Stoker and through him he became involved in London's high society, where he met, among other notables, James McNeil Whistler, and Sir Arthur Conan Doyle. In the course of Irving's tours, Stoker got the chance to travel around the world.

The Stokers had one son, Irving Noel, who was born on December 31, 1879.

People cremated the body of Bram Stoker and placed his ashes placed in a display urn at Golders green crematorium. After death of Irving Noel Stoker in 1961, people added his ashes to that urn. Despite the original plan to keep ashes of his parents together, after death, people scattered ashes of Florence Stoker at the gardens of rest. 

http://en.wikipedia.org/wiki/Bram_Stoker",,"You can find an alternative cover edition for this ISBN here and here.

When Jonathan Harker visits Transylvania to help Count Dracula with the purchase of a London house, he makes a series of horrific discoveries about his client. Soon afterwards, various bizarre incidents unfold in England: an apparently unmanned ship is wrecked off the coast of Whitby; a young woman discovers strange puncture marks on her neck; and the inmate of a lunatic asylum raves about the 'Master' and his imminent arrival.

In Dracula, Bram Stoker created one of the great masterpieces of the horror genre, brilliantly evoking a nightmare world of vampires and vampire hunters and also illuminating the dark corners of Victorian sexuality and desire.

This Norton Critical Edition includes a rich selection of background and source materials in three areas: Contexts includes probable inspirations for Dracula in the earlier works of James Malcolm Rymer and Emily Gerard. Also included are a discussion of Stoker's working notes for the novel and ""Dracula's Guest,"" the original opening chapter to Dracula. Reviews and Reactions reprints five early reviews of the novel. ""Dramatic and Film Variations"" focuses on theater and film adaptations of Dracula, two indications of the novel's unwavering appeal. David J. Skal, Gregory A. Waller, and Nina Auerbach offer their varied perspectives. Checklists of both dramatic and film adaptations are included.

Criticism collects seven theoretical interpretations of Dracula by Phyllis A. Roth, Carol A. Senf, Franco Moretti, Christopher Craft, Bram Dijkstra, Stephen D. Arata, and Talia Schaffer.

A Chronology and a Selected Bibliography are included.",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1387151694i/17245.jpg,"Classics, Horror, Fiction, Fantasy, Vampires, Gothic, Paranormal",,,488,Paperback,"May 26, 1897",4.01,43340
33,Charlotte's Web,E.B. White,"Elwyn Brooks White was a leading American essayist, author, humorist, poet and literary stylist and author of such beloved children's classics as Charlotte's Web, Stuart Little, and The Trumpet of the Swan. He graduated from Cornell University in 1921 and, five or six years later, joined the staff of The New Yorker magazine. He authored over seventeen books of prose and poetry and was elected to the American Academy of Arts and Letters in 1973. 

White always said that he found writing difficult and bad for one's disposition. 

Mr. White has won countless awards, including the 1971 National Medal for Literature and the Laura Ingalls Wilder Medal, which commended him for making “a substantial and lasting contribution to literature for children.”",,"This beloved book by E. B. White, author of Stuart Little and The Trumpet of the Swan, is a classic of children's literature that is ""just about perfect."" This high-quality paperback features vibrant illustrations colorized by Rosemary Wells!

Some Pig. Humble. Radiant. These are the words in Charlotte's Web, high up in Zuckerman's barn. Charlotte's spiderweb tells of her feelings for a little pig named Wilbur, who simply wants a friend. They also express the love of a girl named Fern, who saved Wilbur's life when he was born the runt of his litter.

E. B. White's Newbery Honor Book is a tender novel of friendship, love, life, and death that will continue to be enjoyed by generations to come. This edition contains newly color illustrations by Garth Williams, the acclaimed illustrator of E. B. White's Stuart Little and Laura Ingalls Wilder's Little House series, among many other books.",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1628267712i/24178.jpg,"Classics, Fiction, Childrens, Fantasy, Young Adult, Middle Grade, Animals",,,184,Paperback,"October 15, 1952",4.20,22973
34,Of Mice and Men,John Steinbeck,"John Ernst Steinbeck Jr. (1902-1968) was an American writer. He wrote the Pulitzer Prize-winning novel, The Grapes of Wrath, published in 1939, and the novella, Of Mice and Men, published in 1937. In all, he wrote twenty-five books, including sixteen novels, six non-fiction books and several collections of short stories. 

In 1962, Steinbeck received the Nobel Prize for Literature.

Steinbeck grew up in the Salinas Valley region of California, a culturally diverse place of rich migratory and immigrant history. This upbringing imparted a regionalistic flavor to his writing, giving many of his works a distinct sense of place. 

Steinbeck moved briefly to New York City, but soon returned home to California to begin his career as a writer. Most of his earlier work dealt with subjects familiar to him from his formative years. An exception was his first novel Cup of Gold which concerns the pirate Henry Morgan, whose adventures had captured Steinbeck's imagination as a child.

In his subsequent novels, Steinbeck found a more authentic voice by drawing upon direct memories of his life in California. Later, he used real historical conditions and events in the first half of 20th century America, which he had experienced first-hand as a reporter. 

Steinbeck often populated his stories with struggling characters; his works examined the lives of the working class and migrant workers during the Dust Bowl and the Great Depression. His later body of work reflected his wide range of interests, including marine biology, politics, religion, history, and mythology. 

One of his last published works was Travels with Charley, a travelogue of a road trip he took in 1960 to rediscover America. He died in 1968 in New York of a heart attack, and his ashes are interred in Salinas.

Seventeen of his works, including The Grapes of Wrath (1940), Cannery Row (1945), The Pearl (1947), and East of Eden (1952), went on to become Hollywood films, and Steinbeck also achieved success as a Hollywood writer, receiving an Academy Award nomination for Best Story in 1944 for Alfred Hitchcock's Lifeboat.","“I got you to look after me, and you got me to look after you, and that's why.”","They are an unlikely pair: George is ""small and quick and dark of face""; Lennie, a man of tremendous size, has the mind of a young child. Yet they have formed a ""family,"" clinging together in the face of loneliness and alienation. Laborers in California's dusty vegetable fields, they hustle work when they can, living a hand-to-mouth existence. But George and Lennie have a plan: to own an acre of land and a shack they can call their own.

While the powerlessness of the laboring class is a recurring theme in Steinbeck's work of the late 1930s, he narrowed his focus when composing Of Mice and Men, creating an intimate portrait of two men facing a world marked by petty tyranny, misunderstanding, jealousy, and callousness. But though the scope is narrow, the theme is universal: a friendship and a shared dream that makes an individual's existence meaningful.

A unique perspective on life's hardships, this story has achieved the status of timeless classic due to its remarkable success as a novel, a Broadway play, and three acclaimed films.",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1511302904i/890.jpg,"Classics, Fiction, School, Historical Fiction, Literature, Read For School, Novels",,,107,Paperback,"February 25, 1937",3.88,49852
35,The Hitchhiker's Guide to the Galaxy,Douglas Adams,"Douglas Noël Adams was an English author, comic radio dramatist, and musician. He is best known as the author of the 
Hitchhiker's Guide to the Galaxy
 series. Hitchhiker's began on radio, and developed into a ""trilogy"" of five books (which sold more than fifteen million copies during his lifetime) as well as a television series, a comic book series, a computer game, and a feature film that was completed after Adams' death. The series has also been adapted for live theatre using various scripts; the earliest such productions used material newly written by Adams. He was known to some fans as Bop Ad (after his illegible signature), or by his initials ""DNA"".

In addition to The Hitchhiker's Guide to the Galaxy, Douglas Adams wrote or co-wrote three stories of the science fiction television series Doctor Who and served as Script Editor during the seventeenth season. His other written works include the Dirk Gently novels, and he co-wrote two Liff books and Last Chance to See, itself based on a radio series. Adams also originated the idea for the computer game Starship Titanic, which was produced by a company that Adams co-founded, and adapted into a novel by Terry Jones. A posthumous collection of essays and other material, including an incomplete novel, was published as 
The Salmon of Doubt
 in 2002.

His fans and friends also knew Adams as an environmental activist and a lover of fast cars, cameras, the Macintosh computer, and other ""techno gizmos"". 

Toward the end of his life he was a sought-after lecturer on topics including technology and the environment.",,"Seconds before the Earth is demolished to make way for a galactic freeway, Arthur Dent is plucked off the planet by his friend Ford Prefect, a researcher for the revised edition of The Hitchhiker's Guide to the Galaxy who, for the last fifteen years, has been posing as an out-of-work actor.

Together this dynamic pair begin a journey through space aided by quotes from The Hitchhiker's Guide (""A towel is about the most massively useful thing an interstellar hitchhiker can have"") and a galaxy-full of fellow travelers: Zaphod Beeblebrox--the two-headed, three-armed ex-hippie and totally out-to-lunch president of the galaxy; Trillian, Zaphod's girlfriend (formally Tricia McMillan), whom Arthur tried to pick up at a cocktail party once upon a time zone; Marvin, a paranoid, brilliant, and chronically depressed robot; Veet Voojagig, a former graduate student who is obsessed with the disappearance of all the ballpoint pens he bought over the years.

Where are these pens? Why are we born? Why do we die? Why do we spend so much time between wearing digital watches? For all the answers stick your thumb to the stars. And don't forget to bring a towel!",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1531891848i/11.jpg,"Science Fiction, Fiction, Humor, Fantasy, Comedy, Science Fiction Fantasy, Audiobook",The Hitchhiker's Guide to the Galaxy ,1,216,Mass,"October 12, 1979",4.23,43044
36,The Alchemist,Paulo Coelho,"The Brazilian author PAULO COELHO was born in 1947 in the city of Rio de Janeiro. Before dedicating his life completely to literature, he worked as theatre director and actor, lyricist and journalist. In 1986, PAULO COELHO did the pilgrimage to Saint James of Compostella, an experience later to be documented in his book The Pilgrimage. In the following year, COELHO published The Alchemist. Slow initial sales convinced his first publisher to drop the novel, but it went on to become one of the best selling Brazilian books of all time. Other titles include Brida (1990), The Valkyries (1992), By the river Piedra I sat Down and Wept (1994), the collection of his best columns published in the Brazilian newspaper Folha de São Paulo entitle Maktub (1994), the compilation of texts Phrases (1995), The Fifth Mountain (1996), Manual of a Warrior of Light (1997), Veronika decides to die (1998), The Devil and Miss Prym (2000), the compilation of traditional tales in Stories for parents, children and grandchildren (2001), Eleven Minutes (2003), The Zahir (2005), The Witch of Portobello (2006) and Winner Stands Alone (to be released in 2009). During the months of March, April, May and June 2006, Paulo Coelho traveled to celebrate the 20th anniversary of his pilgrimage to Saint James of Compostella in 1986. He also held surprise book signings - announced one day in advance - in some cities along the way, to have a chance to meet his readers. In ninety days of pilgrimage the author traveled around the globe and took the famous Transiberrian train that took him to Vladivostok. During this experience Paulo Coelho launched his blog Walking the Path - The Pilgrimage in order to share with his readers his impressions. Since this first blog Paulo Coelho has expanded his presence in the internet with his daily blogs in Wordpress, Myspace & Facebook. He is equally present in media sharing sites such as Youtube and Flickr, offering on a regular basis not only texts but also videos and pictures to his readers. From this intensive interest and use of the Internet sprang his bold new project: The Experimental Witch where he invites his readers to adapt to the screen his book The Witch of Portobello. Indeed Paulo Coelho is a firm believer of Internet as a new media and is the first Best-selling author to actively support online free distribution of his work.",,"Combining magic, mysticism, wisdom, and wonder into an inspiring tale of self-discovery, The Alchemist has become a modern classic, selling millions of copies around the world and transforming the lives of countless readers across generations.

Paulo Coelho's masterpiece tells the mystical story of Santiago, an Andalusian shepherd boy who yearns to travel in search of a worldly treasure. His quest will lead him to riches far different—and far more satisfying—than he ever imagined. Santiago's journey teaches us about the essential wisdom of listening to our hearts, recognizing opportunity and learning to read the omens strewn along life's path, and, most importantly, following our dreams.",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1654371463i/18144590.jpg,"Fiction, Classics, Fantasy, Philosophy, Novels, Spirituality, Self Help",,,182,Paperback,"January 1, 1988",3.90,114793
37,The Catcher in the Rye,J.D. Salinger,"Works, most notably novel 
The Catcher in the Rye
 (1951), of American writer Jerome David Salinger often concern troubled, sensitive adolescents. 

People well know this author for his reclusive nature. He published his last original work in 1965 and gave his last interview in 1980. Reared in city of New York, Salinger began short stories in secondary school and published several stories in the early 1940s before serving in World War II. In 1948, he published the critically acclaimed story ""A Perfect Day for Bananafish"" in The New Yorker, his subsequent home magazine. He released an immediate popular success. His depiction of adolescent alienation and loss of innocence in the protagonist Holden Caulfield especially influenced adolescent readers. Widely read and controversial, sells a quarter-million copies a year.

The success led to public attention and scrutiny: reclusive, he published new work less frequently. He followed with a short story collection, Nine Stories (1953), of a novella and a short story, Franny and Zooey (1961), and a collection of two novellas, Raise High the Roof Beam, Carpenters and Seymour: An Introduction (1963). His last published work, a novella entitled ""Hapworth 16, 1924"", appeared in The New Yorker on June 19, 1965.

Afterward, Salinger struggled with unwanted attention, including a legal battle in the 1980s with biographer Ian Hamilton. In the late 1990s, Joyce Maynard, a close ex-lover, and Margaret Salinger, his daughter, wrote and released his memoirs. In 1996, a small publisher announced a deal with Salinger to publish ""Hapworth 16, 1924"" in book form, but the ensuing publicity indefinitely delayed the release. 

Another writer used one of his characters, resulting in copyright infringement; he filed a lawsuit against this writer and afterward made headlines around the globe in June 2009. Salinger died of natural causes at his home in Cornish, New Hampshire.",It's Christmas time and Holden Caulfield has just been expelled from yet another school...,"Fleeing the crooks at Pencey Prep, he pinballs around New York City seeking solace in fleeting encounters—shooting the bull with strangers in dive hotels, wandering alone round Central Park, getting beaten up by pimps and cut down by erstwhile girlfriends. The city is beautiful and terrible, in all its neon loneliness and seedy glamour, its mingled sense of possibility and emptiness. Holden passes through it like a ghost, thinking always of his kid sister Phoebe, the only person who really understands him, and his determination to escape the phonies and find a life of true meaning.

The Catcher in the Rye is an all-time classic in coming-of-age literature- an elegy to teenage alienation, capturing the deeply human need for connection and the bewildering sense of loss as we leave childhood behind.


J.D. Salinger's
 (1919–2010) classic novel of teenage angst and rebellion was first published in 1951. The novel was included on Time's 2005 list of the 100 best English-language novels written since 1923. It was named by Modern Library and its readers as one of the 100 best English-language novels of the 20th century. It has been frequently challenged in the court for its liberal use of profanity and portrayal of sexuality and in the 1950's and 60's it was the novel that every teenage boy wants to read.",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1398034300i/5107.jpg,"Classics, Fiction, Young Adult, Literature, School, Novels, Coming Of Age",,,234,Paperback,"July 16, 1951",3.80,81195
