,Username,Book,Date,Rating,Comment
912,Valeriu Gherghel,Mizerabilii,"Mar 18, 2020",4,"4* îndeosebi pentru episodul Gavroche. 

Și pentru sentimentul de liniște și securitate pe care îl trăiam ori de cîte ori citeam paginile despre ascunzătoarea din burta elefantului din Piața Bastilia. Le-am parcurs de atîtea ori, încît le-am învățat pe de rost. Episodul a circulat ca broșură pentru copii, probabil că abia începusem școala. Extrasul cu viața lui Gavroche (VI: 2) m-a făcut curios cu privire la întregul roman. L-am citit puțin mai tîrziu. Iar sfîrștul lui m-a dezamăgit. Cum se poate ca frumoasa Cosette, justițiarul Marius (pentru care bătrînul ocnaș și-a sacrificat viața) să-l trateze pe Jean Valjean cu atîta indiferență? Mi se părea nedrept, un păcat strigător la cer. Mă întrista mai ales următorul pasaj:
„În cimitirul Père-Lachaise, aproape de groapa comună..., într-un colţ pustiu, lângă un zid crăpat, sub o tisă pe care urcă o iederă, printre smocuri de pir şi de muşchi, e o piatră... Ploaia a înverzit-o, vîntul a înnegrit-o. Nu e pe lîngă ea nici o potecă, şi lumii nu-i place să meargă pînă acolo... Această piatră nu are pe ea nici o însemnare. Nu s-a gîndit nimeni, tăind-o, decît la mărimea unui mormînt şi n-a vrut nimeni decît s-o facă destul de lungă şi destul de îngustă ca să acopere un om. Nu e scris pe ea nici un nume”. 
Să nu uităm că Gavroche - alături de liliala, devotata, umila Éponine, care îl iubește în taină pe Marius - era copilul siniștrilor soți Thénardier („Taică-su nu-i purta de grijă, iar maică-sa nu-l iubea”). Din fericire, ereditatea nu funcționează în acest caz. Éponine se aruncă în fața gloanțelor și îi salvează viața lui Marius. Iar bunătatea voioasă și curajul neasemuit ale lui Gavroche răscumpără într-un fel răutatea părinților."
913,Bradley,The Hitchhiker's Guide to the Galaxy ,"Apr 10, 2013",5,"Re-Read 4/2/22:

Read this book for the first time with my daughter. I figured it is a piece of culture and I'm nothing if not a man of culture. Plus, the secret is to bang the rocks together, guys.

Out of almost all of the hilarious things in this book, my daughter was supremely taken by:

""You want me,"" said Prosser, spelling out this new thought to himself, ""to come and lie over there...""
""Yes.""
""In front of the bulldozer?""
""Yes.""
""Instead of Mr. Dent?""
""Yes.""
""In the mud.""
""In, as you say, the mud.""


We have, in point of fact, put towels on our heads and acted out the scene more than a few times. Not 42 times, however. There are only so many hours in the day.

I think it was a hit. But we must always remember... Don't Panic.


Original Review:

I'm a firm believer that every budding reader ought to read this book first so they can be utterly and completely ruined for literature for the rest of their lives.

Of course, if you're an older reader, with experience and verve when it comes to words, you might also be completely ruined for literature for the rest of your life, too, but I'm not counting you. In fact, I don't care about you. 

I have a towel.

And I know how to USE IT. It's almost, but not quite entirely unlike having a clue.


Fortunately, I, myself had been totally ruined for literature early on in my life and I think I might have read this book around seven or eight times before I got the idea that nothing else I would ever read would quite stack up to it, and afterward, I just decided to become Marvin and assume that the whole world was not quite worth living.

But, again, fortunately, I remembered that I was an Earthling and I could replace most of my cognitive centers with ""What?"" and get along quite nicely. So that's what I did and ever since I've been reading normal books and saying ""What?"" quite happily.

You SEE? Happy endings DO happen. As long as you're not a pot of Petunias. Of course, that story would take WAY too long to tell.

I think I want to grab a bite to eat. Maybe I ought to meet the meat."
914,Lisa,Fahrenheit 451,"Jun 25, 2014",4,"The Wall Controls You - The Silent Take-Over Of Screen-Time!
 
What does ""Fahrenheit 451"" mean to me? Most of all, it is a declaration of love for books in an era of fast entertainment and instant gratification as a means of political control of the masses.

I used to think Brave New World and 1984 - or a combination of those two - had a more accurate take on human mind-slavery in the age of technology than ""Fahrenheit 451"". But increasingly, I see the world as Bradbury saw it, with people sitting in front of screens, absorbed by meaningless entertainment without purpose or fulfillment, losing their ability to talk to each other. And with the dialogue, reflection disappears from our homes and schools. 

Students do ""research"" without ever touching a book and spit out slogans they find online, but they can't put them into context. They write their essays on screens and unlearn how to spell. They dream of a career which makes them visible on screens as well: they want to be athletes, singers, movie stars. Out of the 200 teenagers I asked, only 2 had read a book during their ten weeks of summer holidays, and most of them couldn't even say what they had been doing instead. Time passes without being noticed in front of a screen - a WALL, as it is called in the novel.

If you do not practice the skill of reading and of appreciating literature, it is lost. The book burning that takes place in ""Fahrenheit 451"" is not even necessary in the real world of today. Those rare students that like reading can't share their interest with anyone anymore, and it doesn't spread:

""With school turning out more runners, jumpers, racers, tinkerers, grabbers, snatchers, fliers, and swimmers instead of examiners, critics, knowers, and imaginative creators, the word 'intellectual,' of course, became the swear word it deserved to be.""

What Bradbury meant as satire is my work reality.

So what have I done myself, hopeless book lover that I am? I have taken to the woods, figuratively speaking, like the characters in ""Fahrenheit 451"". Barring television screens and computer games - the walls - from my home, I have made sure reading stays alive. My walls are filled with books, not screens. I waste no opportunity to talk about books with my children, and I make them learn poems by heart. To develop a lasting love for literature, it has to be nurtured. You are not born a reader, just like you are not born a football player or a dancer. Accessibility, motivation and training are necessary prerequisites for any interests to form. It takes time and care.

Fahrenheit 451 - the temperature at which books burn. I think Bradbury got that wrong. It is what happened to books in the past, when politicians actively tried to destroy specific books. There is no need for them to do that anymore. In our world, books drown - in the flood of quick information and easy entertainment.

The year of the flood... after the fire came the water, and it caused more damage!"
915,Bill Kerwin,The Alchemist,"Jan 08, 2015",1,"A good parable--like ""The Prodigal Son""--should comfort the afflicted and afflict the comfortable. The problem with this little book is that it does precisely the opposite.

Coelho's message--and, boy, is this a book with a message--is that each of us has his own Personal Legend, and that if we recognize that legend and pursue it sincerely, everything in the Universe (which is after all made up--wind, stone, trees--of the same stuff we are) will conspire to help us achieve it. Corollaries: 1) people who don't recognize their legends are never happy, 2) people who fail to realize their legends are afraid, and 3) people who refuse to pursue their legends, even when they know what they are, are both unhappy and afraid. (I admit I've left out a nuance or two here and there, but not many. There aren't more than three or four nuances in the book.)

I fear that the result of taking such a message seriously will be to make the successful even more self-satisfied, the narcissistic more self-absorbed, and the affluent more self-congratulatory. At the same time, those who are unfortunate will blame themselves for their bad fortune, those who lack self-esteem will lose what little they have, and the poor will see--no, not God, as the beatitude says, but--the poor will see they have only themselves to blame.

Perhaps I am being too harsh. I can see how a few individual young persons, hemmed in by parental expectations and seeking their own paths, may find enough hope and courage here to help them venture forth. But I am convinced the damage done by books like this--like The Secret, The Celestine Prophecy, and anything ever written by the late Dr. Wayne Dyer (or, for that matter, anything he may ever choose to channel from beyond the grave)--is far greater than the little good they may achieve.

If you like parables, don't read this book. Go read a book of Hasidic tales collected by Martin Buber, a book of Sufi stories collected by Idries Shah, or a book of parables and sayings by Anthony de Mello instead.

Or then again, you could just try Jesus. Jesus is always good."
916,Jason,The Great Gatsby,"Jul 09, 2007",5,"Most Americans are assigned to read this novel in high school. Few American high schoolers have the wherewithal to appreciate this novel in full. I certainly did not. It is on a shortlist of novels that should, every 5 years starting at age 25, return to any American's required reading list.

First things first: The opening of The Great Gatsby -- its first 3-4 pages -- ranks among the best of any novel in the English language, and so too does its ending. Both for their content and for their prose, the latter of which is stunning and near perfect throughout the novel.

As for that between the novel's opening and conclusion, two things first. (1) History is fairly clear that the term ""the American Dream"" did not exist at the time Fitzgerald wrote The Great Gatsby, and regardless it almost certainly did not exist in the popular consciousness. (2) Few great American novelists after Fitzgerald have not attempted to write ""the great American novel"". Most of these efforts are absurdly long and often tortured. The Great Gatsby, on the other hand, is relatively short, fluid, and of seemingly effortless yet pristine expression. At a point in history where Fitzgerald's express focus could hardly have been a tale regarding ""the American dream"" per se or the writing of ""the great American novel"", Fitzgerald nevertheless crafts the definitive tale of ""the American Dream"", as well as, his successors' endeavors aside, ""the great American novel"". Period.

In not so many pages, Fitzgerald paints a brilliantly cogent picture of the potential pleasures, joys, and benefits an individual might deem achievable -- uniquely so -- in an America filled with possibilities. Paired with that picture, Fitzgerald besprinkles The Great Gatsby with the numerous pitfalls and evils that both stand as a barrier to what's imagined achievable in America, and threaten to accompany that which is achieved. Neither the quest for, nor (if possible) the achievement of, the American Dream is a thing untainted. Nor, in Fitzgerald's view, can it be.

Fitzgerald, frankly, writes all that need be written on this subject; whatever his successors' ambitions may be. And he writes it in prose so perfect, so impressive, and so beautiful, I occasionally find myself at a loss to name a novel in the English language constructed with greater skill, and apparent ease thereof.

In short: The Great Gatsby is an inimitable wonder of American fiction. And, for lack of a better word, an ""application"" of the English language that has few equals. The novel is astounding."
917,Matthew,Dracula,"Nov 15, 2017",3,"Two things about this book:

1. It is a really great and creepy story that deserves classic status
2. Everything is repeated soooooo much without any obvious benefit.

Here is actual footage of Bram Stoker writing this novel:



If Stoker had just got to the point, this book would have been much more exciting and suspenseful. I understand the exact same mysterious thing happens night after night. I understand that Dracula has some boxes of dirt. I get that you brought Winchester rifles along for protection. Each of these things was repeated ad nauseam throughout the book. Talk about killing the pace - by the time the gruesome scares came I was very disengaged. 

Also, funny thing about this book as a horror story - it must be the grandfather of heading up the stairs to hide instead of running outside or cutting through the graveyard shortly after hearing a serial killer is loose. They keep leaving people alone even though those people are repeatedly attacked when they are left alone. Then, when they finally insist on guarding someone, that person insists that they need no one but God to guard them!? Seems like so far God had not been interested in protecting, so why count on him starting now!?

So three stars because it is a classic and I like the story. I especially like Lucy's suitors - their gung ho manliness amuses me. But the repetition and the illogical behavior in the face of a bloodsucking monster are the cause of the removal of a couple of stars."
918,Alejandro,The Annotated Alice: The Definitive Edition,"Dec 10, 2017",5,"Curiouser and curiouser edition!



This is the annotated edition, collecting both novels in the Alice book series: “Alice’s Adventures in Wonderland” and “Through the Looking-Glass and What Alice found There”.



WE’RE ALL MAD HERE



Begin at the beginning…


This was technically a re-reading since I’ve already read both novels previously, the key difference here was that this is an “annotated” edition, which includes a comprehensive section, at the end of each chapter, with tons of notes revealing “behind-the-scenes” detailing moments in the life of Charles Lutwidge Dodgson (aka Lewis Carroll), the “real” meaning of scenes, the “real” inspirations for several of the characters in both novels, historic meaning (in the Victorian England) of casual expressions that got outdated nowadays, studies in the metrics of the poems included in the novels, etc…


I don’t think…



Then you shouldn’t talk…


It was a curiouser and curiouser reading experience since this was my first “annotated edition” of any book, and I believe that if you want to engage into this sort of books, it’s advisable having read the regular version of the novel first, since reading all those annotations after each chapter, it’s a kinda of “braking” effect, since depending the chapter, you’ll invest almost the same time reading the explanations than the chapter itself, so you lose a great deal of the rhythm of your reading, therefore, if you haven’t read the story before, you may not enjoying as much as it was supposed to be.


It’s a poor sort of memory that only works backwards.


Of course, almost all the information was made by scholars in the Lewis Carroll’s works, doing assumptions and best guesses, since the author was already gone when this annotated edition began to be conceived. Therefore, it’s a priceless access to get a better understanding of the novels at the era when they were published, BUT…


…sometimes I’ve believed as many as six impossible things before breakfast.


…you can’t fully take without a doubt the exposed explanations, since you can’t ask the author anymore to validate if their interpretations are truly accurate. So, as many things in life, it’s up to you if you wish to believe them.


I can’t go back to yesterday because I was a different person then.


And as those scholars mentioned at some momento of the annotations, that sometimes we are so obssessed to find a secret meaning behind any single quote, any single character, any single scene, etc… and while it’s evident that some quotes, characters and scenes have indeed a double significance, some of them are merely things needed to keep flowing the narrative, as simply as that, without any conspiration or secret plot,…


I’m not strange, weird, off, nor crazy, my reality is just different from yours.


…so don’t get too deep into the annotations section and simply enjoy this wonderfully mad tale about a little girl who fell down into a rabbit’s hole and she kept finding curiouser and curiouser things, even through the looking-glass.


…and go on till you come to the end: then stop."
919,MizzSandie,The Perks of Being a Wallflower,"Jun 30, 2011",1,"DISCLAIMER:


I did not like this book. 

I am about to try to explain why that is so, here, in my own, personal review space. I am critiqing this book, based on my own opinions, personal taste, experiences and perspective, criteria and standards for literary work. It is entirely subjective, as I think all reviews, per definition, are.

I mean no disrespect to the people who like this book, and who have found in it something of value. You are as entitled to your own opinion, subjective readingexperience, and standards, as I am, and yours is just as valid. And you have the same opportunity as me, to use your own review space, to clarify that. We don’t all have to agree. One opinion isn’t ‘wrong’ and the other ‘right’ – they are both right, personally speaking, because it is subjective.
If you are a big fan of this book, and have difficulty in understanding or respecting people, who disagree with you, especially on issues that are important to you, I advice you not to read any further. I will not be saying nice things about this book.

I want to underline that I look at Charlie as a written character, not a real person, and I critique the book as a literary piece of work, not as a real life story. To me, there is a huge difference between the two.
------------------------------

Some of the things that matter most to me in books are prose/writing style, storytelling and message. It’s one of the things that can make or break a book for me.
In this case, the writing  style  just didn't work for me.
It was just too  lacking .
Maybe it's the whole premise of the book, a story narrated by someone who is emotionally inhibited as Charlie, that didn't work for me? Maybe, but it didn't have to be. That issue and Charlie’s character could have been explored and dealt with, literary, in other ways.
The book could have had Charlie’s narration interact with someone else’s (like an answer to the letters for example), or it could have been written in the 3rd person, maintaining Charlie’s point of view, but also being able to draw in other views, and how they collide with Charlie’s.

I find it a bit concerning, that Chbosky wrote a book with so many serious issues like suicide, death, rape, social exclusion/inclusion, relationship violence, abortion, drugs, homosexual adventures, childmolestation/incest, parties, fights, without really dealing with any one of them in depth. To have all of these issues crammed into one book, without giving it the time and place it deserves, I felt, was a huge fault. Each one of these issues needs to be taken seriously, not pointed out on one page, just to be forgotten on the next. If you are going to write about these things, write about it well, give it the space and the in-depth exploration it deserves. To make the reader care for these characters, for these issues, the author and the characters involved must care too. I had a hard time stomaching that both Chbosky and the characters seemed to care so little, for something that is so very very real and so very very difficult, for so many people. It was almost making a mockery of them, which was very off-putting to me.
The staccato writing and Charlie’s detached narrating, made me feel detached as well.
The story is written in a very plain, very dull, very simple language, with the same sentences reoccurring over and over (eg.  ""..I don't know why.."" , ""He/she looked sad."")
The emotional description amounts to 'sad' or 'happy'.

The portrayals of Charlie and everyone else in the story was so lacking that they felt like cardboard cutouts and simply came off as what they were; made up characters in a fictional story (and not a very good one at that if you ask me).

The main character, Charlie, is 15, but comes off as much younger than that. Again, I would have wished for some more in-depth exploration of why and what is the basis of this, to better be able to understand and relate to Charlie’s character. 

Charlie also cries a lot, which wouldn’t be a problem, if it was more nuancedly described. I don’t want to see /read about just the surface tears. I want to be taken behind the tears, into the pool they stem from, the pain they are a symptom of and maybe a release from? I want the author to show me what these tears mean, I want to understand them, to be touched by them, to be moved with the ebb and flow of them. In this case, that didn’t happen. 
The sentence  ""I/he/she started to cry""  alone, just doesn’t stir much emotion in me. Especially not when thrown about on every other page. Then it just gets bothersome and tiring.
It's not that I have an aversion to tears (my own or others'). Crying is normal, and can be very healthy and soothing. 
But when it comes to a literary work, I expect the author to give more nuanced descriptions of feelings than just bucketful of tears. Okay, so they are sad. Very, very sad. Very often. Now, show me what that sadness does to someone, besides producing tears, tears, tears. I am not interested in the tears alone. The sadness is the root, the tears are a symptom. Many people are filled with sadness, but don’t produce many tears. Sadness can overflow in many ways. So: the sadness is the key. 
Which is why I was so disappointed that Chbosky never digged deeper than this very very thin surface. All I got was tears. And I wonder if all the crying came down to Chbosky simply not knowing how else to describe emotions, or how explore them.

Much thought and debate has been given to the question why Charlie is, the way he is. 
There is the fact that he suffered from childhood trauma, and then there is the question of whether or not Charlie might be autistic. The latter is hinted at and up for interpretation, but never explicitly stated/diagnosed.
The autistic spectrum is a varied one, and it comes in many forms, very few fitting the standard, but classic ‘rainman’ syndrome of a very intelligent but socially closed off person. It’s admirable to want to write about autism, a difficult diagnosis to live with, sure. I just don’t think Chbosky is doing autistic people any favors or justice with his depiction of Charlie as someone who might or might not be autistic.
Again I must say: if you are going to write about it, write about it with care. Don’t make it into a guessing game, but own it. Don’t glamorize or deride it, but show its many layers and nuances through the particulars and the concrete. 
The same goes for the psychological trauma. It wasn’t given the care and attention it deserved. It was left at the end as an easy way out, like 'hey, he suffered/suffers from this and so i'm excused for writing a terribly boring book'.
No.
Whatever made Charlie the way he is, it doesn’t compensate for how the story was written and pulled off.
To me, it's really besides the point, since I don’t base my rating/review on pity for a character.

SO whether Charlie has any form of autism or not, doesn't really matter, because I thought he and the story was very poorly written. 
and let me be clear about this: 
It's not the  disorder I have a problem with, it's the writing  of it.

Note (November, 2013): I recently saw the movie, and thought it was better than the book.
Maybe because it fixed some of the issues I had with the book, like it left some of the drama llama out and it wasn't as heavily centered on Charlie's narration and perspective, and emotions and reactions was expressed through expressions instead of just (bad) writing. Different type of media - different possibilities. For this story, i think movie worked better than writing."
920,Kristy,1984,"Sep 04, 2009",1,"Praise the lord and pass the amunition, I am finished with this beast of a book. My brain feels like sludge, I just want to crawl into a hole and forget all that was engrained into my poor head. Why, oh why did I have the noble idea to read such a monster? How am I supposed to rate such s#@$????? 
I believe, like some of you that this might have been better had I read it in a class or with a group. Alone it was fingernails to chalkboard miserable.

After reading this, it just makes you feel hopeless. 

Hallelujah, it's over. Never again, Orwell.... Never again!

Sidenote: I did a little experiment on facebook about this book... I wrote in my status that I was reading '1984', anybody have any opinions? Almost everyone of the commenters wrote how much they enjoyed this book and how it was one of their favorite books ever. While I am sure that maybe 1 of them was being truthful, I have to doubt atleast half of them..... Now I ask, Why do people lie about certain books? Do they think it makes them look smarter? Cooler? Well-rounded? I just don't get it, if you don't like something you don't like it. It's not neccessary to like it for classic book sake. This might not be making sense to some of you.... maybe you would have to know the people who were commenting, I don't know. But, I am sure all of you have been in a bookstore or talking with a co-worker, etc., and they spout out some well known ""hip"" book that they just 'adore'. You know this person and it's hard to see them reading period, much less what they are talking about.

I guess my point is, don't be a fake book talker. Like it, Yay. Don't like it, Yay. I'm not going to think less of you for not liking something you ""SHOULD"" like by literary standards.

Rant over."
921,Anna,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,"Aug 09, 2022",5,Just perfect
922,Peter,Fahrenheit 451,"May 02, 2019",5,"An absolute anti-utopian classic of the 20th century. I did a speech about that book in class (in 1988 I guess) to convince the other pupils how important this books is. The temperature at which books burn. No slowdown, only highspeed on the streets, reality shows at home with you being part of it, a world dominated by a government given truth. What happens if someone dares to look behind the scenes? Dares to read a uncensored book? Who is this group trying to find the truth beyond the fact falsifying system of the government? This is a must read. Ray Bradbury had a look into our modern times when he wrote this groundbraking classic. One of the best books of the 20th century!"
923,Scoobs,The Picture of Dorian Gray,"Oct 02, 2007",5,"Oh Dorian. Oh Dorian.

When I first read this book in the fruitless years of my youth I was excited, overwhelmed and a blank slate (as Dorian is, upon his first encounter with Lord Henry) easily molded, persuaded, influenced, etc.

Certain Wildisms (Wildeisms?) would take my breath away. Would become my mottos to believe in. To follow. To live.

Lines like:

""It is silly of you, for there is only one thing in the world worse than being talked about, and that is not being talked about.""

""But beauty, real beauty, ends where an intellectual expression begins. Intellect is in itself a mode of exaggeration, and destroys the harmony of any face.""

""If they know nothing of victory, they are at least spared the knowledge of defeat.""

""Genius lasts longer than Beauty. That accounts for the fact that we all take such pains to over-educate ourselves. In the wild struggle for existence, we want to have something that endures, and so we fill our minds with rubbish and facts, in the silly hope of keeping our place.""

""You know more than you think you know, just as you know less than you want to know.""

Re-reading this masterpiece and coming upon these highlighted lines was possibly more interesting than the book this time. Why had I highlighted these lines? Do they still mean the same thing to me, as they did when I first took note of them, enough to highlight them? I still love all of those lines. But no longer feel so strongly for them.

Now these are lines that stick out still to me. Or were newly underlined on the second pass through. New Wildisms to mold me.

""Oh, I can't explain. When I like people immensely I never tell their names to any one. It is like surrendering a part of them. I have grown to love secrecy. It seems to be the one thing that can make modern life mysterious or marvelous to us. The commonest thing is delightful if one only hides it. When I leave town now I never tell my people where I am going. If I did, I would lose all my pleasure. It is a silly habit, I dare say, but somehow it seems to bring a great deal of romance into one's life. I suppose you think me awfully foolish about it?""

""Yes; she is a peacock in everything but beauty.""

""Laughter is not at all a bad beginning for a friendship, and it is far the best ending for one.""

""I choose my friends for their good looks, my acquaintances for their good characters, and my enemies for their good intellects.""

""Ah! this Morning! You have lived since then.""

""what brings you out so early? I thought you dandies never got up till two, and were not visible till five."" --A new personal favorite. That I follow very seriously.

""She behaves as if she was beautiful. Most American women do. It is the secret of their charm.""

'He thought for a moment. ""Can you remember any great error that you committed in your early days, Duchess?"" he asked, looking at her across the table. 
""A great many, I fear,"" she cried.
""Then commit them over again,"" he said, gravely. ""To get back one's youth one has merely to repeat one's follies.""
""A delightful theory!"" she exclaimed. "" I must put it into practice.""

""Besides, each time that one loves is the only time one has ever loved. Difference of object does not alter singleness of passion.""

It turns out that all of these quotes occur in the first 45 pages, except that last one which is right near the end. And it seems most of my reviews end up being mostly quotes from the book itself, but I figure this is what shaped and informed my reading, so I want to share it with all of you. What do you think of it all?

That said, poor Sybil Vane! Poor James Vane! Poor Basil Hallward! Shit, even poor old Lord Henry Wotton! And Dorian! Oh Dorian! Lead the life you did and for what? 

That's all I am going to say about the book. I don't think I shall read Against Nature, for fear of being seduced like Dorian.

If you're tired of this review or just tired in general, stop now and come back later. I am going to include two more quotes from the book that truly fucked me up. So much I had to read them at least 3 times in a row. And then transcribe them here for you. The last section, thats the one that did it. Beautiful.

Here goes:

""There is no such thing as a good influence, Mr. Gray. All influence is immoral-immoral from the scientific point of view.""
""Why?""
""Because to influence a person is to give him one's own soul. He does not think his natural thoughts, or burn with his natural passions. His virtues are not real to him. His sins, if there are such things as sins, are borrowed. He becomes an echo of some one else's music, an actor of a part that has not been written for him. The aim of life is self-development. To realize one's nature perfectly-that is what each of us is here for. People are afraid of themselves nowadays. They have forgotten the highest of all duties, the duty that one owes to one's self. Of course they are charitable. They feed the hungry and cloth the beggar. But their own souls starve, and are naked. Courage has gone out of our race. Perhaps we never really had it. The terror of society, which is the basis of morals; the terror of God, which is the secret of religion-these are the two things that govern us. And yet-""
""And yet,"" continues Lord Henry, in his low, musical voice,""I believe that if one man were to live out his life fully and completely, were to give form to every feeling, expression to every thought, reality to every dream-I believe that the world would gain such a fresh impulse of joy that we would forget all the maladies of mediaevalism, and return to the Hellenic ideal-to something finer, richer than the Hellenic ideal, it may be. But the bravest man among us is afraid of himself. The mutilation of the savage has its tragic survival in the self-denial that mars our lives. We are punished for our refusals. Every impulse that we strive to strangle broods in the mind and poisons us. The body sins once, and has done with its sins, for action is a mode of purification. Nothing remains then but the recollection of a pleasure, or the luxury of a regret. The only way to get rid of a temptation is to yield to it. Resist it, and your soul grows sick with longing for the things it has forbidden to itself, with desire for what its monstrous laws have made monstrous and unlawful. It has been said that the great events of the world take place in the brain. It is in the brain, and the brain only, that the great sins of the world take place also. You, Mr. Gray, you yourself, with your rose-red youth and your rose-white boyhood, you have had passions that have made you afraid, thoughts that have filled you with terror, day-dreams and sleeping dreams whose mere memory might stain your cheek with shame-""
""Stop!"" faltered Dorian Gray, ""stop! you bewilder me. I don't know what to say. There is some answer to you, but I cannot find it. Don't speak. Let me think, or, rather, let me try not to think.""

Whew.
And:

""There are few of us who have not sometimes wakened before dawn, either after one of those dreamless nights that make us almost enamored of death, or one of those nights of horror and misshapen joy, when through the chambers of the brain sweep phantoms more terrible than reality itself, and instinct with that vivid life that lurks in all grotesques, and that lends to Gothic art its enduring vitality, this art being, one might fancy, especially the art of those who minds have been troubled with the malady of reverie. Gradually white fingers creep through the curtains, and they appear to tremble. In black, fantastic shapes, dumb shadows crawl into the corners of the room, and crouch there. Outside, there is the stirring of the birds among the leaves, or the sound of men going forth to their work, or the sigh and sob of the wind coming down from the hills and wandering round the silent house, as though it feared to wake the sleeper, and yet must needs call forth Sleep from her purple cave. Veil after veil of thin, dusky gauze is lifted, and by degrees the forms and colors of things are restored to them, and we watch the dawn remaking the world in its antique pattern. The wan mirrors get back their mimic life. The flameless tapers stand where we had left them, and beside them lies the half-cut book that we had been studying, or the wired flower that we had worn at the ball, or the letter we had been afraid to read, or that we had read too often. Nothing seems to us changed. Out of the unreal shadows of the night comes back the real life that we had known. We have to resume it where we had left off, and there steals over us a terrible sense of the necessity for the continuance of energy in the same wearisome round of stereotyped habits, or a wild longing, it may be, that our eyelids might open some morning upon a world that had been refashioned anew in the darkness for our pleasure, a world in which things would have fresh shapes and colors, and be changed, or have other secrets, a world in which the past would have little or no place, or survive, at any rate, in no conscious form of obligation or regret, the remembrance even of joy having its bitterness, and the memories of pleasure their pain.""

Yep."
924,Lyndsey,Divergent ,"Sep 16, 2010",4,"Everything that rises must Diverge.

Or that seems to be the philosophy of this book. Divergent poses that as a society progresses, it becomes more segregated, as opposed to more integrated. Likely? NO. Fun? HELL YES.

Does it smell like Hunger Games in here to you?

Check out the video for this Hunger Games parody at the end of the article Part Two of The Best YouTube Book Trailers.

Imagine a culture where everyone is separated into groups based on their one key defining character trait.

One of these five traits: Honesty. Selflessness. Intelligence. Bravery. Peacefulness.

We all know that honesty is the best policy and that money is the root... YAWN!! We want to know about those dystopian shenanigans!

Some of the Dystopian Shenanigans in Divergent

 * Jumping off moving things.
 * Jumping off tall things.
 * Climbing tall things.
 * Making out with a camp counselor, I mean, another member of Dauntless. Haha, whoops, just got, um, confused there for a second. *clears throat* I wouldn't know anything about making out with a camp counselor. Because, yeah, who does that?


Beatrice Prior is a member of Abnegation, the selfless, but she dreams of another life. One where she can look at her own reflection without being scolded or dress in something other than a gray potato sack (Fine, they don't actually wear potato sacks, but it sounds like they might as well have). So she chooses to join Dauntless, the fearless and brave, and her life, as well as her disappointed family's, is forever altered. Now known as Tris, she gets thrown into a world of speeding trains, speeding bullets, and unusual looking lead male characters.

You want to know about our Dauntless hottie?

Here are a few snippets of description: The corners of his mouth turn down naturally. He has very long thin fingers, a scar on his chin, and eye sockets that are so deep they sound like a deformity when described by Tris, with eyes so dark blue they're almost black... and a light blue patch in those eyes.

So basically, he looks like.....this?


My Beatrisssssssssssss.

Regardless of the less than stellar description of our love interest, named Four, I still managed to imagine him as a hottie toward the end. (Click to see how I really imagined him.) However, I just wasn't all that interested in him, which seems to be a common occurrence for me lately. Color me blinded by Barrons, I guess. Nearly every love interest I have read since, just doesn't live up to my expectations.

Now, a love interest who would have been intriguing and a major shock: Peter. This douchebag was the Dauntless nemesis of both Four and Tris: however, he was way more interesting to me than Four. If he had turned out to be the other Divergent and had been just acting like a jerk the entire time, it could have been different for me. There was an instant where I thought, ""Maybe?"" But alas, no. He was still just being a douche.

I have to say that, although the world itself doesn't make much sense, since when does any oppressive society make SENSE? At least to those of us who have common sense. Horrible and ridiculous things happen all the time and there have been many ages of oppression throughout history. None of them make a hell of a lot of sense. Slavery? The holocaust? Genocide? Nope, I don't get it. But that doesn't mean it can't and won't happen.

If you are one for analyzing the politics and economics of the world you are reading about, then this one may fall short for you. If you are someone who can easily suspend your disbelief in favor of action and new experiences, then you just might love this. Me? Well, I fall somewhere in between, but more toward loving it.

For nay-sayers who claim that dystopian fiction is unrealistic because those kinds of societies would never work:

I think that is the point these books are trying to make, isn't it? It doesn't work. That's why those types of government either self-destruct or are deconstructed by others, and those who initiate those governments either fall apart or are taken apart. That's one reason that I think books like this are so important; they exist to remind us what humans are capable of: the good and the bad.

Humans can kill and be killed, give life and have it taken from them, love or hate, help others or help destroy them.

Even though this book concentrates on just 5 important characteristics, there are so many more traits that are important. So, what character trait is your strongest? Are you brave? Helpful? Funny? Creative? A good listener? What trait can you use to help transform others? Or the world? That's a question that can be found in between the lines of this book, and it's an important one. One that we should all ask ourselves.

Divergent was one of those books that just consumed every corner of my mind while I was reading it. As much as I love The Hunger Games, the subsequent deterioration of my interest in the sequels still weighs heavy on my mind. Here's to hoping that this is a series that only gets better with age.


You can find this review along with bonus material on my blog: Strangemore."
